id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
270290,Excuse My French,7.12,25,Released,2014-01-19,1124113,99,False,/jgALYZV9nVEYK5jmv7dCOhWNLLw.jpg,0,,tt3510372,ar,لا مؤاخذة,A Christian kid suddenly is forced to go to a public school after his father dies and because of a misunderstanding everyone thinks that he's a Muslim.,2.973,/tO1VtKUBERmj2BwcpfWYpD6h2Sd.jpg,,"Drama, Comedy",Al-Masa Productions,Egypt,Arabic,
452196,Can't Help Falling in Love,7.4,25,Released,2017-04-15,6300000,119,False,/km1qUafSpJ7iNfi0dXd547D4s2w.jpg,0,http://starcinema.abs-cbn.com/movies/can-t-help-falling-in-love,tt6725484,tl,Can't Help Falling in Love,Gab de la Cuesta is a high-strung career woman who got recently engaged to her longtime boyfriend. Her well-planned life suddenly becomes complicated when she discovers that she is actually married to a total stranger.,3.748,/bWTG8X1rd4b4UEhQkWx8WXtmGEd.jpg,,"Comedy, Romance",Star Cinema – ABS-CBN Film Productions,Philippines,"English, Tagalog",philippines
317467,Selfie,6.1,24,Released,2014-05-09,355316,123,False,/8GEfES4eQDPXIxdOgcNiCRC0rh2.jpg,0,http://www.selfieyourmovie.com/,tt3102208,ro,#Selfie,"Yasmine , Roxi and Ana run away to the seaside two days before their finals to have the time of their lives.",2.061,/uJIMxuuzD0NoxnMvZPzrp2GJPVn.jpg,,Comedy,"Zazu Film, MediaPro Entertainment",Romania,Romanian,seaside
673748,Trash,6.458,24,Released,2020-10-16,284200,88,False,/rr4BmdU2G79elMnpNbii8MQ4UsR.jpg,0,,tt6434368,it,Trash,"Boxes, bottles, cans. Garbage. Abandoned, ignored, inert. Until nightfall. Slim is a resigned cardboard box. but his fate changes when a kid toy box, Spark, involves him and his pals in an adventure that will change their life forever.",2.315,/rsVvneSdja3zoQx45p9jdBkooA3.jpg,,"Adventure, Animation, Comedy, Family","Al-One Production & Strategy, MiC",Italy,Italian,"garbage, recycling"
637895,Owners,7.396,24,Released,2019-11-21,2058974,97,False,/iAObdcOZTl3NpSypR6w7KT74x82.jpg,0,,tt10583170,cs,Vlastníci,Mrs. Zahrádková has a plan to convince the other co-owners of the flats to finally save the house in which they live together and which is in emergency condition.,2.026,/3CKuilKpVWfs4ZpK4KcaE87NdUo.jpg,,"Comedy, Drama",,Czech Republic,"Czech, Japanese, Slovak",
489648,Six Degrees of Celebration 6,5.84,24,Released,2017-12-21,16138333,85,False,/rlWzjJ9IeHQ2fl1R596zgw2PE6b.jpg,0,,tt6907804,ru,Ёлки новые,"As the new year celebrations approach, a bunch of characters throughout Russia experience diverse situations that eventually get interconnected towards a joyous finale.",2.289,/sd0XVlmryKqOWArrm7dkDjqUGo.jpg,,Comedy,Bazelevs Production,Russia,Russian,
605193,Honest Candidate,6.125,24,Released,2020-02-12,10468890,104,False,/r8DJ7k5FC6b8bb08te8c6Dt9F9b.jpg,0,,tt11812338,ko,정직한 후보,"Sang-sook is a competent politician who captivates the public with all kinds of nice words. One day, Sang-sook visits her grandmother who lives in the isolated house. But when she returns home, she finds out that she is not able to lie anymore.",8.237,/J3ZZ8tSw2Lid3e8frpGVFmdEeQ.jpg,Please let me lie again.,Comedy,"Next Entertainment World, Soo Film, Hong Film",South Korea,Korean,"election campaign, politics, politician, liar, remake, election, female politician, congressman, woman director, congresswoman"
441182,Godha,7.125,24,Released,2017-05-19,3200000,120,False,/bvpWSpeTzoirHh2AAlFJSDcEWmF.jpg,700000,,tt6221000,ml,ഗോദ,"In a rustic village in Kerala, a group of old wrestling aficionados led by ""Captain"" Das is at odds with the youth of the village who are more into cricket. Though a former wrestler himself,  the Captain's son Anjaneya is also part of the cricketer gang. Anjaneya is forced to go to college in Punjab by his father and there his paths cross with a Punjabi girl Aditi  who's coincidentally also a wrestler. Due to unforeseen circumstances both of them end up returning to Anjaneya's village in Kerala.",2.523,/gzacK6MbJQAzwEFQPKPWmXngNnE.jpg,,"Comedy, Drama","AVA Productions, E4 Entertainments",India,"English, Hindi, Malayalam, Punjabi, Tamil","sports, wrestling, wrestler, training, women wrestler"
574894,The Big Shot,6.0,24,Released,2019-01-10,56343000,107,False,/mbx4WUzJRBAx1E8CLkKFdhIZJQz.jpg,0,,tt9596638,zh,“大”人物,A car fixer jumps off stairs after illegal demolition. Police officer tries to find the crime and catch the evil boss.,6.405,/dGHJUVtn9ij8M3RbC3YdhSQ1Wgs.jpg,,"Action, Crime, Thriller",CJ Entertainment,China,Mandarin,remake
467649,Fidaa,7.0,24,Released,2017-07-20,7000000,145,False,/nMPRyWqeteQjuQ4j1tgQuxYI8lL.jpg,2100000,,tt7159382,te,ఫిదా,Two young people embark on a winding and rocky path to love after meeting at a wedding.,4.851,/cvpwHdJuUzm544lvleBIAxGdzBB.jpg,,"Drama, Romance, Comedy",Sri Venkateswara Creations,India,Telugu,village love
728882,Under the Open Sky,7.522,23,Released,2021-02-11,4702781,126,False,/k29768dIYqNGBw5yYgR8dUVxP6L.jpg,0,,tt12801374,ja,すばらしき世界,"Mikami, an ex-yakuza of middle age with most of his life in prison, gets released after serving 13 years of sentence for murder. Hoping to find his long lost mother, from whom he was separated as a child, he applies for a TV show and meets a young TV director Tsunoda. Meanwhile, he struggles to get a proper job and fit into society. His impulsive, adamant nature and ingrained beliefs cause friction in his relationship with Tsunoda and those who want to help him.",8.3,/niXZ7He4YQywfFMVdo6uI6GeaOD.jpg,,Drama,"AOI Pro., Bandai Namco Arts, Filmarks, Kodansha, U-NEXT, Warner Bros. Japan, GAGA Corporation",Japan,Japanese,"japan, society, yakuza, rehabilitation, killer, criminal rehabilitation, anti-organized crime law, yakuza exclusion ordinances"
325699,Temper,6.5,23,Released,2015-02-13,11600000,147,False,/hFybK0MfGhHkkavMLV5AdDr7umO.jpg,5400000,,tt4442758,te,టెంపర్,"Daya, a corrupt police officer, finds his life changing when he takes on a case of gang rape.",4.456,/hA793thpccdoAHSOZ5GNbtdSQlC.jpg,,"Action, Drama, Crime",Parameswara Art Productions,India,Telugu,"corruption, anti hero, dirty cop, gang rape, corrupt official"
390341,The Tenth Man,4.9,23,Released,2016-02-11,295129,82,False,/e7QeZBq3FKQG6GVn3lgDqfLcgFs.jpg,0,,tt5446610,es,El rey del Once,"After many years away, Ariel is summoned by his distant father to his childhood home in the bustling Jewish quarter of Buenos Aires, known as El Once. Over the course of seven days, during the vibrant holiday of Purim, Ariel seeks to reconnect with his father, who runs a Jewish charity and is regarded as a big macher in the close-knit community, but was frequently absent due to his obligation to fulfill the Jewish quorum of having 10 men present at all funerals.",1.98,/sf1wxH0qcUvTTYgHdT6dbBAHWdd.jpg,Sometimes you need to go back to your roots to find yourself,"Comedy, Drama","BD Cine, PASTO, Telefe, INCAA",Argentina,"Spanish, Hebrew, Yiddish",
290890,Sapthamashree Thaskaraha,6.37,23,Released,2014-09-06,2600000,140,False,/nlde6H3CpiB8N3CfScw0X6ayC0P.jpg,0,http://www.augustcinemaindia.in/project_details.php?project=SAPTHAMASREE%20THASKARAHA&path=uploadimage/project-10.jpg&domain=august-cinema&movie_detail=success,tt3982468,ml,സപ്തമ. ശ്രീ. തസ്കരാഃ,"Sapthamashree Thaskaraha is a Malayalam film directed and written by Anil Radhakrishnan Menon starring Prithviraj Sukumaran and Reenu Mathews in lead roles. The film, which will be produced by Prithviraj himself along with director Santosh Sivan and entrepreneur Shaji Nadesan under August Cinema, also stars Asif Ali, Sanusha, Neeraj Madhav, Nedumudi Venu and Mangolian artist Flower Battsetseg.  A friendship is formed between 7 inmates in Viyoor Central Jail. Each of them has their own 'tragic story' about how they got in prison. When they find out that some of them have a common enemy, a ruthless businessman named Payas, they plan a heist to extract all of Payas' black money hidden in a locker",3.089,/tVHo0mVXowoc3cJxRF6PAyau5qe.jpg,,"Comedy, Crime, Thriller",August Cinema,India,"English, Malayalam","plan, robbery, circus, confession, gang of thieves, hidden camera, jail"
296641,Danny's Doomsday,5.13,23,Released,2014-09-12,260861,88,False,/kmjETE0FOrQ8iOBSBCdkdTjOwkk.jpg,0,,tt3177800,da,Dannys dommedag,"Due to climate change a new race of flesh eating predators arise, who invade and eat everything living on earth. In a residential neighbourhood in a Danish suburb nightmare like scenes are being experienced first hand through the eyes of two teenage brothers, who can't stand each other, but are now suddenly forced to barricade themselves in the basement together, to avoid getting eaten. From one day to another, without parents and without electricity, food, water and contact to other people, the brothers have to learn to live together in their vital protection bunker, while monsters move past the basement windows and heavy, sharp claws can be heard moving around upstairs on the wooden floors.",2.451,/nKzLF7f4WBRWwg6FjyRgkVlxqvD.jpg,,"Science Fiction, Family, Adventure",Miso Film,Denmark,Danish,"monster, sibling relationship, climate change, post-apocalyptic future, global warming"
397366,Mobile Suit Gundam: The Origin III - Dawn of Rebellion,7.5,23,Released,2016-05-21,477689,68,False,/eIIDgrQHGAw8WrAsh7tFrFW9PJ2.jpg,0,http://www.gundam-the-origin.net/,tt5871184,ja,機動戦士ガンダム THE ORIGIN III 暁の蜂起,"Universal Century 0074. Since leaving Texas Colony, Édouard Mass has camouflaged his identity and enrolled in the Autonomous Republic of Zeon's Space Defense Military Academy under the name of Char Aznable. He develops a friendship with his classmate Garma, a scion of the Zabi family. Gradually the two become admired by the other students.  Then, in Universal Century 0077, the young at last rise up in arms and begin the fight for independence against the Earth Federation's security forces. This rebellion, however, also marks the beginning of Char’s spectacular scenario of revenge…  Now, the gears of history are turning!",3.975,/f1EBHjCVr1rZF0bH8HVTLrCnGfC.jpg,,"Action, Animation, Science Fiction",SUNRISE,Japan,Japanese,"future, prequel, space, mecha, alternate history, based on manga, anime, original video animation (ova), gundam"
606400,The Point Men,6.4,23,Released,2023-01-18,13325763,108,False,/8OIruB6SloPseVWHMOMaOQ2bITB.jpg,0,,tt21111120,ko,교섭,A story about a diplomat and a national intelligence service agent who struggle and risk their lives on foreign soil to save Korean hostages that have been abducted in the Middle East.,9.933,/clqjSOghnY9OxmqkrdS9nHMnKEz.jpg,Only 24 hours left to accomplish the mission impossible.,"Crime, Action","Plus M Entertainment, Watermelon Pictures, One Take Film",South Korea,Korean,"diplomat, kidnapping, afghanistan, based on true story, taliban, hostage negotiator, negotiation, 2000s, national intelligence service (nis)"
565386,The Last Tree,6.348,23,Released,2019-09-27,228676,98,False,/hka1m1XehI2pnSi8a0x0yG5ymsE.jpg,0,http://film.britishcouncil.org/the-last-tree,tt7802246,en,The Last Tree,"Femi is a British boy of Nigerian heritage who, after being fostered in rural Lincolnshire, moves to inner-city London to live with his birth mother. Struggling with the unfamiliar culture and values of his new environment, teenage Femi has to figure out which path to adulthood he wants to take.",3.627,/7j7wEeujQeSvnxREkjekS77GNh0.jpg,,Drama,"Prodigal Film & TV, Privateer Pictures, BFI",United Kingdom,English,growing up
449998,The Invincible Dragon,4.609,23,Released,2019-06-20,12000000,98,False,/4COZh2O6Xn2ISWrgagxBpnLpZsu.jpg,2869666,,tt6329716,zh,九龍不敗,"The undercover agent with dragon tattoo Kowloon continually helped the police to solve mysterious cases, which made him known as a rising star. However, his impulsive personality dragged him into endless troubles. He got himself into fights with the Macau detective, as well as an American Army veteran Alexander who has a secret linkage to Kowloon’s background…",6.81,/15GQh5pUXzPSvZ0GmqsYeUSlhUw.jpg,,"Action, Crime, Thriller, Comedy",Pegasus Motion Pictures,Hong Kong,"Cantonese, Mandarin, English",
540384,The Soul-Mate,6.7,23,Released,2018-09-26,3300000,97,False,/3NRRcN7a9NzrXmfJpte8IQZFpCs.jpg,0,,tt7938128,ko,원더풀 고스트,"Jang-soo is a judo instructor who is indifferent to everyone but his daughter. One day he realizes he can see Tae-jin, a ghost who used to be a devoted police officer. Tae-jin asks Jang-soo to help solve the case that took his life away from him.",4.282,/4A2NhXngHY7x9CCKjbE5UsXinKD.jpg,,"Comedy, Fantasy, Crime","The Contents On, Daydream",South Korea,Korean,
